iter	RMSE
0	0.002116970827
1	0.002116115404
2	0.002114757627
3	0.002113725993
4	0.002112747346
5	0.002111466845
6	0.002110718998
7	0.002109339855
8	0.002107941509
9	0.002106556193
10	0.002105301507
11	0.002104346592
12	0.002103497097
13	0.002102660873
14	0.002101291493
15	0.002100099108
16	0.002099433705
17	0.002098266524
18	0.0020973873
19	0.002096636966
20	0.002095745117
21	0.002094631412
22	0.002093432125
23	0.002092344813
24	0.002091364297
25	0.002090299982
26	0.002089496358
27	0.002088772809
28	0.002088065551
29	0.002087155539
30	0.002085805239
31	0.002084836691
32	0.002083831688
33	0.002082951796
34	0.002082103565
35	0.002081390616
36	0.002080472709
37	0.002079665315
38	0.002078652248
39	0.002077470772
40	0.002076434298
41	0.002075353472
42	0.002074420105
43	0.002073426191
44	0.0020725542
45	0.00207156186
46	0.00207059066
47	0.002069756887
48	0.002069012503
49	0.00206811397
50	0.002067168843
51	0.002066467543
52	0.002065515446
53	0.002064737635
54	0.00206402803
55	0.002063163523
56	0.002062523983
57	0.002061880201
58	0.002060843313
59	0.002059903727
60	0.002059242819
61	0.002058523908
62	0.002057975487
63	0.002056871243
64	0.002056181983
65	0.002055129628
66	0.002054222615
67	0.002053297113
68	0.002052255323
69	0.002051418662
70	0.002050873385
71	0.002050251068
72	0.002049872553
73	0.002049127811
74	0.002048309525
75	0.002047695717
76	0.002047166791
77	0.002046552111
78	0.00204571976
79	0.002044772027
80	0.002044087579
81	0.002043371017
82	0.002042790245
83	0.002042012373
84	0.002041543196
85	0.002040626466
86	0.002039704624
87	0.002038944658
88	0.002038244159
89	0.00203769542
90	0.002037016375
91	0.002036100646
92	0.002035405349
93	0.00203477558
94	0.002034108198
95	0.002033299426
96	0.002032647799
97	0.002031896806
98	0.002031143816
99	0.002030432774
